ob_best_bid,ob_best_ask,ob_midpoint,ob_spread,ob_spread_bps,ob_imbalance_5,ob_bid_vol_5,ob_ask_vol_5,ob_imbalance_10,ob_bid_vol_10,ob_ask_vol_10,ob_imbalance_20,ob_bid_vol_20,ob_ask_vol_20,ob_cum_imbalance_10bps,ob_cum_depth_10bps_btc,ob_cum_depth_10bps_usd,ob_cum_imbalance_25bps,ob_cum_depth_25bps_btc,ob_cum_depth_25bps_usd,ob_cum_imbalance_50bps,ob_cum_depth_50bps_btc,ob_cum_depth_50bps_usd,ob_cum_imbalance_100bps,ob_cum_depth_100bps_btc,ob_cum_depth_100bps_usd,ob_bid_slope,ob_ask_slope,ob_slope_imbalance,ob_whale_bid_wall,ob_whale_ask_wall,ob_whale_bid_wall_size,ob_whale_ask_wall_size,ob_whale_bid_wall_dist_bps,ob_whale_ask_wall_dist_bps,ob_whale_wall_bias,ob_weighted_midpoint,ob_wmid_vs_mid,ob_bid_concentration,ob_ask_concentration,ob_bid_density_10bps,ob_ask_density_10bps,ob_ready,timestamp
66826.5,66826.6,66826.55,0.10000000000582077,0.014964112318505259,-0.417034,4.757,11.563,-0.214782,7.628,11.801,0.120715,18.192,14.273,0.148459,73.542,4914558.14,0.148459,73.542,4914558.14,0.148459,73.542,4914558.14,0.148459,73.542,4914558.14,32.504659,18.945586,13.559073,1.0,1.0,7.487,9.125,1.2,0.01,-0.5,66826.16,-0.0587,0.1126,0.3693,100,100,True,2026-04-04 03:28:13.147631+00:00
66821.6,66821.7,66821.65,0.09999999999126885,0.014965209627608545,-0.652145,3.126,14.847,-0.68136,3.148,16.611,0.059949,19.051,16.896,0.036328,73.222,4892814.86,0.036328,73.222,4892814.86,0.036328,73.222,4892814.86,0.036328,73.222,4892814.86,37.367829,28.286255,9.081574,1.0,1.0,7.487,13.232,0.47,0.01,-0.5,66821.07,-0.0866,0.0824,0.4208,100,100,True,2026-04-04 03:29:13.504321+00:00
66824.4,66824.5,66824.45,0.10000000000582077,0.014964582575063582,0.184182,9.448,6.509,0.031998,9.482,8.894,-0.102752,10.448,12.841,-0.112379,65.528,4378872.56,-0.112379,65.528,4378872.56,-0.112379,65.528,4378872.56,-0.112379,65.528,4378872.56,24.210009,33.444734,-9.234725,1.0,1.0,9.067,6.486,0.01,0.01,0.5,66824.61,0.0243,0.3249,0.1786,100,100,True,2026-04-04 03:30:13.756665+00:00
66813.7,66813.8,66813.75,0.10000000000582077,0.014966979103226622,-0.484801,3.949,11.381,-0.596553,3.979,15.746,-0.688651,4.166,22.595,-0.486698,67.36,4500574.2,-0.486698,67.36,4500574.2,-0.486698,67.36,4500574.2,-0.486698,67.36,4500574.2,8.968581,52.334524,-43.365943,1.0,1.0,3.938,11.281,0.01,0.01,-0.5,66813.73,-0.0035,0.2284,0.2273,100,100,True,2026-04-04 03:31:14.055326+00:00
66815.1,66815.2,66815.15,0.09999999999126885,0.014966665492971109,0.445115,16.035,6.157,0.442788,16.745,6.467,0.164677,17.66,12.666,-0.151641,64.211,4290267.6,-0.151641,64.211,4290267.6,-0.151641,64.211,4290267.6,-0.151641,64.211,4290267.6,19.943066,31.842844,-11.899778,1.0,1.0,15.716,4.368,0.01,0.01,0.5,66815.66,0.0761,0.5887,0.1665,100,100,True,2026-04-04 03:32:14.311934+00:00
66817.9,66818.0,66817.95,0.10000000000582077,0.014966038318419044,-0.049089,4.804,5.3,-0.196942,4.832,7.202,-0.370629,5.327,11.601,-0.366044,56.25,3758509.69,-0.366044,56.25,3758509.69,-0.366044,56.25,3758509.69,-0.366044,56.25,3758509.69,10.138242,38.181861,-28.043619,1.0,1.0,4.76,5.272,0.01,0.01,-0.5,66817.99,0.0065,0.2694,0.1379,100,100,True,2026-04-04 03:33:14.574079+00:00
66817.9,66818.0,66817.95,0.10000000000582077,0.014966038318419044,-0.135536,5.6,7.356,-0.243585,5.63,9.256,-0.456199,5.981,16.016,-0.391145,58.316,3896555.57,-0.391145,58.316,3896555.57,-0.391145,58.316,3896555.57,-0.391145,58.316,3896555.57,10.091949,42.811303,-32.719354,1.0,1.0,5.542,6.873,0.01,0.01,-0.5,66818.04,0.0129,0.3154,0.1813,100,100,True,2026-04-04 03:34:14.832478+00:00
66817.9,66818.0,66817.95,0.10000000000582077,0.014966038318419044,0.270313,12.148,6.978,0.156975,12.187,8.88,-0.154799,12.588,17.199,-0.23465,58.551,3912257.79,-0.23465,58.551,3912257.79,-0.23465,58.551,3912257.79,-0.23465,58.551,3912257.79,14.549731,34.422682,-19.872951,1.0,1.0,12.096,6.487,0.01,0.01,0.5,66818.3,0.0527,0.5422,0.1931,100,100,True,2026-04-04 03:35:15.093110+00:00
66818.0,66818.1,66818.05,0.10000000000582077,0.01496601592022227,-0.2215,4.193,6.579,-0.417899,4.231,10.306,-0.603399,4.948,20.004,-0.335492,52.806,3528393.95,-0.335492,52.806,3528393.95,-0.335492,52.806,3528393.95,-0.335492,52.806,3528393.95,8.572806,33.66131,-25.088504,1.0,1.0,3.787,5.962,0.01,0.01,-0.5,66817.88,-0.0258,0.239,0.1866,100,100,True,2026-04-04 03:36:15.351990+00:00
66818.6,66818.7,66818.65,0.09999999999126885,0.014965881530271691,0.322623,22.105,11.321,0.33048,22.537,11.341,0.317082,22.638,11.738,0.249416,60.822,4064043.93,0.249416,60.822,4064043.93,0.249416,60.822,4064043.93,0.249416,60.822,4064043.93,30.022006,14.139895,15.882111,1.0,1.0,21.51,6.806,0.01,0.01,0.5,66818.75,0.0152,0.5818,0.496,100,100,True,2026-04-04 03:37:15.614670+00:00
66809.8,66809.9,66809.85,0.09999999999126885,0.014967852792854472,-0.082993,5.381,6.355,-0.090019,5.393,6.46,-0.501512,5.606,16.886,-0.157774,52.214,3488409.51,-0.157774,52.214,3488409.51,-0.157774,52.214,3488409.51,-0.157774,52.214,3488409.51,8.161002,27.214711,-19.05371,1.0,1.0,4.827,4.763,0.01,0.01,0.5,66809.97,0.0185,0.2447,0.2102,100,100,True,2026-04-04 03:38:15.890018+00:00
66810.8,66810.9,66810.85,0.09999999999126885,0.014967628759590521,0.63556,17.956,4.001,0.4777,18.206,6.435,0.062605,18.331,16.171,0.148366,59.596,3981659.42,0.148366,59.596,3981659.42,0.148366,59.596,3981659.42,0.148366,59.596,3981659.42,23.040509,22.038839,1.00167,1.0,1.0,16.924,2.374,0.01,0.01,0.5,66811.43,0.0865,0.5247,0.1577,100,100,True,2026-04-04 03:39:16.145804+00:00
66810.8,66810.9,66810.85,0.09999999999126885,0.014967628759590521,0.474077,14.6,5.209,0.488274,15.199,5.226,0.09947,15.458,12.661,-0.017316,58.847,3931618.09,-0.017316,58.847,3931618.09,-0.017316,58.847,3931618.09,-0.017316,58.847,3931618.09,18.851349,26.349219,-7.497869,1.0,1.0,14.421,3.575,0.01,0.01,0.5,66811.32,0.0709,0.5049,0.174,100,100,True,2026-04-04 03:40:16.403714+00:00
66817.2,66817.3,66817.25,0.10000000000582077,0.014966195107673658,0.726375,23.073,3.657,0.658115,25.627,5.284,0.560534,30.407,8.563,0.432875,63.337,4232004.16,0.432875,63.337,4232004.16,0.432875,63.337,4232004.16,0.432875,63.337,4232004.16,40.79106,10.917166,29.873894,1.0,1.0,22.931,3.644,0.01,0.01,0.5,66817.82,0.0849,0.5085,0.2036,100,100,True,2026-04-04 03:41:16.659181+00:00
66829.8,66829.9,66829.85,0.09999999999126885,0.014963373401446935,0.197501,8.052,5.396,0.187086,8.163,5.59,0.153361,8.957,6.575,-0.104594,42.249,2823494.33,-0.104594,42.249,2823494.33,-0.104594,42.249,2823494.33,-0.104594,42.249,2823494.33,12.240186,10.958953,1.281233,1.0,1.0,7.612,4.64,0.01,0.01,0.5,66829.95,0.0151,0.4257,0.2313,100,100,True,2026-04-04 03:42:16.917590+00:00
66822.9,66823.0,66822.95,0.10000000000582077,0.01496491849070129,0.761704,13.359,1.807,0.759069,13.456,1.843,0.584889,14.264,3.736,0.222401,36.052,2409100.99,0.222401,36.052,2409100.99,0.222401,36.052,2409100.99,0.222401,36.052,2409100.99,20.216088,7.861071,12.355017,1.0,1.0,13.315,1.748,0.01,0.01,0.5,66824.22,0.1896,0.6063,0.1289,100,100,True,2026-04-04 03:43:17.181844+00:00
66827.2,66827.3,66827.25,0.10000000000582077,0.014963955572886925,0.746995,15.626,2.263,0.746738,15.663,2.271,0.663937,16.151,3.262,0.138181,43.443,2903176.22,0.138181,43.443,2903176.22,0.138181,43.443,2903176.22,0.138181,43.443,2903176.22,20.259327,9.265963,10.993363,1.0,1.0,15.053,2.12,0.01,0.01,0.5,66827.84,0.0879,0.632,0.1209,100,100,True,2026-04-04 03:44:17.440610+00:00
66816.3,66816.4,66816.35,0.09999999999126885,0.014966396696507494,0.673834,14.051,2.738,0.674518,14.148,2.75,0.687025,15.524,2.88,0.236831,45.429,3035399.96,0.236831,45.429,3035399.96,0.236831,45.429,3035399.96,0.236831,45.429,3035399.96,19.016811,8.133125,10.883686,1.0,1.0,13.554,2.714,0.01,0.01,0.5,66816.42,0.0101,0.5001,0.1579,100,100,True,2026-04-04 03:45:17.703744+00:00
66822.5,66822.6,66822.55,0.10000000000582077,0.014965008070751679,0.574319,15.093,4.081,0.575381,15.204,4.098,0.591928,17.001,4.358,0.327093,45.085,3012694.67,0.327093,45.085,3012694.67,0.327093,45.085,3012694.67,0.327093,45.085,3012694.67,22.188456,9.239481,12.948975,1.0,1.0,14.391,4.051,0.01,0.01,0.5,66822.62,0.0099,0.5045,0.269,100,100,True,2026-04-04 03:46:17.964967+00:00
66821.7,66821.8,66821.75,0.10000000000582077,0.01496518723406986,0.454857,12.311,4.613,0.460713,12.53,4.626,0.490963,14.642,4.999,0.260528,42.46,2837251.5,0.260528,42.46,2837251.5,0.260528,42.46,2837251.5,0.260528,42.46,2837251.5,15.360093,9.063354,6.296739,1.0,1.0,11.795,4.285,0.01,0.01,0.5,66821.81,0.0084,0.46,0.2938,100,100,True,2026-04-04 03:47:18.223706+00:00
66829.9,66830.0,66829.95,0.10000000000582077,0.014963351013403537,0.671036,17.403,3.426,0.672329,18.164,3.559,0.635924,18.598,4.139,0.220175,55.969,3740405.47,0.220175,55.969,3740405.47,0.220175,55.969,3740405.47,0.220175,55.969,3740405.47,23.280653,8.387974,14.89268,1.0,1.0,17.291,4.032,0.01,1.5,0.5,66830.21,0.0396,0.5097,0.157,100,100,True,2026-04-04 03:48:18.485059+00:00
66829.9,66830.0,66829.95,0.10000000000582077,0.014963351013403537,0.494805,11.581,3.914,0.502335,12.226,4.05,0.448822,12.725,4.841,0.046102,44.749,2990573.43,0.046102,44.749,2990573.43,0.046102,44.749,2990573.43,0.046102,44.749,2990573.43,18.866263,9.648223,9.21804,1.0,1.0,11.483,4.296,0.01,1.5,0.5,66830.19,0.0352,0.4948,0.1834,100,100,True,2026-04-04 03:49:18.751396+00:00
66830.0,66830.1,66830.05,0.10000000000582077,0.014963328623249686,-0.33923,5.939,12.037,-0.340746,6.048,12.3,-0.336664,6.439,12.975,-0.168201,49.524,3309691.4,-0.168201,49.524,3309691.4,-0.168201,49.524,3309691.4,-0.168201,49.524,3309691.4,11.827234,15.107611,-3.280377,1.0,1.0,5.918,12.014,0.01,0.01,-0.5,66830.0,-0.0082,0.2883,0.4161,100,100,True,2026-04-04 03:50:19.007207+00:00
66830.0,66830.1,66830.05,0.10000000000582077,0.014963328623249686,-0.530606,4.137,13.49,-0.517411,4.324,13.596,-0.479201,4.914,13.957,-0.170915,45.865,3065160.24,-0.170915,45.865,3065160.24,-0.170915,45.865,3065160.24,-0.170915,45.865,3065160.24,12.408684,18.235214,-5.82653,1.0,1.0,4.086,13.389,0.01,0.01,-0.5,66829.82,-0.0342,0.2176,0.5024,100,100,True,2026-04-04 03:51:19.264591+00:00
66830.0,66830.1,66830.05,0.10000000000582077,0.014963328623249686,-0.5912,3.642,14.176,-0.573622,3.86,14.246,-0.564306,4.055,14.559,-0.328778,43.029,2875630.22,-0.328778,43.029,2875630.22,-0.328778,43.029,2875630.22,-0.328778,43.029,2875630.22,9.73021,19.578443,-9.848233,1.0,1.0,3.619,14.149,0.01,0.01,-0.5,66829.93,-0.0181,0.2522,0.4959,100,100,True,2026-04-04 03:52:19.516593+00:00
66819.3,66819.4,66819.35,0.09999999999126885,0.014965724747587165,0.644994,15.421,3.328,0.635988,15.438,3.435,0.659114,16.879,3.468,0.253,43.245,2889602.79,0.253,43.245,2889602.79,0.253,43.245,2889602.79,0.253,43.245,2889602.79,21.257877,4.319005,16.938872,1.0,1.0,15.376,3.26,0.01,0.01,0.5,66819.39,0.0058,0.5692,0.206,100,100,True,2026-04-04 03:53:19.767173+00:00
66819.3,66819.4,66819.35,0.09999999999126885,0.014965724747587165,0.055842,5.937,5.309,0.048646,5.982,5.427,0.033937,6.078,5.679,0.063699,33.737,2254284.41,0.063699,33.737,2254284.41,0.063699,33.737,2254284.41,0.063699,33.737,2254284.41,8.488608,9.180398,-0.69179,1.0,1.0,5.9,5.293,0.01,0.01,0.5,66819.39,0.0055,0.3309,0.3361,100,100,True,2026-04-04 03:54:20.023905+00:00
66805.7,66805.8,66805.75,0.10000000000582077,0.014968771401536659,-0.880954,1.427,22.547,-0.850918,1.844,22.894,-0.854095,2.004,25.466,-0.525917,48.481,3238809.57,-0.525917,48.481,3238809.57,-0.525917,48.481,3238809.57,-0.525917,48.481,3238809.57,8.472131,31.57478,-23.102649,1.0,1.0,1.675,21.364,1.04,0.01,-0.5,66805.44,-0.0471,0.1242,0.6096,100,100,True,2026-04-04 03:55:20.276385+00:00
66798.8,66798.9,66798.85,0.09999999999126885,0.01497031760146602,-0.618369,3.993,16.933,-0.649587,4.011,18.882,-0.662235,4.357,21.442,-0.466686,48.658,3250298.44,-0.466686,48.658,3250298.44,-0.466686,48.658,3250298.44,-0.466686,48.658,3250298.44,6.567983,29.686292,-23.11831,1.0,1.0,3.963,16.735,0.01,0.01,-0.5,66798.73,-0.0181,0.3077,0.4745,100,100,True,2026-04-04 03:56:20.532416+00:00
66804.3,66804.4,66804.35,0.09999999999126885,0.014969085095696439,0.112747,6.272,5.001,0.100635,6.677,5.456,0.121289,7.063,5.535,0.099005,35.594,2377834.03,0.099005,35.594,2377834.03,0.099005,35.594,2377834.03,0.099005,35.594,2377834.03,12.618132,7.709553,4.908579,1.0,1.0,6.26,3.99,0.01,0.01,0.5,66804.36,0.001,0.3207,0.3119,100,100,True,2026-04-04 03:57:20.790066+00:00
66804.3,66804.4,66804.35,0.09999999999126885,0.014969085095696439,-0.008225,5.004,5.087,-0.00253,5.322,5.349,0.111886,6.852,5.473,0.658937,89.479,5977586.43,0.658937,89.479,5977586.43,0.658937,89.479,5977586.43,0.658937,89.479,5977586.43,73.040509,8.476854,64.563654,1.0,1.0,50.251,4.002,0.65,0.01,0.5,66804.2,-0.0226,0.0674,0.3334,100,100,True,2026-04-04 03:58:21.048885+00:00
66808.8,66808.9,66808.85,0.09999999999126885,0.014968076832825118,-0.423544,4.439,10.962,-0.408969,4.85,11.562,-0.406319,5.111,12.107,-0.132404,37.718,2519896.2,-0.132404,37.718,2519896.2,-0.132404,37.718,2519896.2,-0.132404,37.718,2519896.2,6.083931,17.130752,-11.046821,1.0,1.0,4.409,10.931,0.01,0.01,-0.5,66808.71,-0.0212,0.2713,0.5133,100,100,True,2026-04-04 03:59:21.306647+00:00
66794.0,66794.1,66794.05,0.10000000000582077,0.014971393410913213,-0.12024,4.99,6.354,-0.131964,5.009,6.532,-0.070258,5.816,6.695,0.020952,31.882,2129527.9,0.020952,31.882,2129527.9,0.020952,31.882,2129527.9,0.020952,31.882,2129527.9,10.639093,10.468745,0.170348,1.0,1.0,4.834,6.25,0.01,0.01,-0.5,66793.89,-0.0233,0.3066,0.4071,100,100,True,2026-04-04 04:00:21.562772+00:00
66785.1,66785.2,66785.15,0.09999999999126885,0.014973388543900682,0.157307,8.913,6.49,0.143219,9.016,6.757,0.146869,9.433,7.017,0.213639,33.463,2234831.47,0.213639,33.463,2234831.47,0.213639,33.463,2234831.47,0.213639,33.463,2234831.47,14.394306,9.257768,5.136538,1.0,1.0,6.586,6.443,0.01,0.01,0.5,66785.18,0.0045,0.4389,0.4933,100,100,True,2026-04-04 04:01:21.818790+00:00
66791.8,66791.9,66791.85,0.09999999999126885,0.014971886538742202,0.106018,8.059,6.514,0.094294,8.083,6.69,0.09316,8.478,7.033,0.114043,37.819,2526000.98,0.114043,37.819,2526000.98,0.114043,37.819,2526000.98,0.114043,37.819,2526000.98,10.361677,8.390046,1.971632,1.0,1.0,7.778,5.478,0.01,0.01,0.5,66791.89,0.0062,0.3826,0.3888,100,100,True,2026-04-04 04:02:22.073327+00:00
66796.7,66796.8,66796.75,0.10000000000582077,0.014970788250299719,0.103121,5.461,4.44,0.113432,5.703,4.541,0.079232,5.932,5.061,0.097312,33.932,2266547.32,0.097312,33.932,2266547.32,0.097312,33.932,2266547.32,0.097312,33.932,2266547.32,8.278718,8.485817,-0.207099,1.0,1.0,4.828,4.224,0.01,0.01,0.5,66796.82,0.011,0.2933,0.2899,100,100,True,2026-04-04 04:03:22.332098+00:00
66796.7,66796.8,66796.75,0.10000000000582077,0.014970788250299719,0.114074,5.264,4.186,0.213549,7.649,4.957,0.234924,8.642,5.354,0.136829,37.587,2510689.44,0.136829,37.587,2510689.44,0.136829,37.587,2510689.44,0.136829,37.587,2510689.44,10.609461,10.415033,0.194428,1.0,1.0,4.575,3.972,0.01,0.01,0.5,66796.79,0.0064,0.2464,0.258,100,100,True,2026-04-04 04:04:22.595141+00:00
66797.4,66797.5,66797.45,0.10000000000582077,0.014970631364793232,-0.165016,4.931,6.88,-0.134273,5.403,7.079,0.047106,8.358,7.606,-0.125072,38.202,2551796.18,-0.125072,38.202,2551796.18,-0.125072,38.202,2551796.18,-0.125072,38.202,2551796.18,9.183375,17.316444,-8.133069,1.0,1.0,4.404,6.59,0.01,0.01,-0.5,66797.2,-0.0369,0.2951,0.3201,100,100,True,2026-04-04 04:05:22.854277+00:00
66809.8,66809.9,66809.85,0.09999999999126885,0.014967852792854472,-0.533476,2.296,7.547,-0.518686,2.447,7.721,-0.475231,2.839,7.981,-0.042528,37.881,2530823.93,-0.042528,37.881,2530823.93,-0.042528,37.881,2530823.93,-0.042528,37.881,2530823.93,4.9384,13.270809,-8.332409,1.0,1.0,2.554,7.327,1.86,0.01,-0.5,66809.52,-0.0491,0.1266,0.3822,100,100,True,2026-04-04 04:06:23.152644+00:00
66809.8,66809.9,66809.85,0.09999999999126885,0.014967852792854472,-0.142735,5.009,6.677,-0.141624,5.17,6.876,-0.131127,5.46,7.108,0.205695,41.79,2791983.63,0.205695,41.79,2791983.63,0.205695,41.79,2791983.63,0.205695,41.79,2791983.63,8.128369,10.718298,-2.589929,1.0,1.0,8.187,6.392,1.47,0.01,0.5,66809.77,-0.0118,0.1988,0.4023,100,100,True,2026-04-04 04:07:23.415154+00:00
66809.8,66809.9,66809.85,0.09999999999126885,0.014967852792854472,-0.265691,4.317,7.441,-0.254593,4.544,7.648,-0.252002,4.764,7.974,0.218942,42.783,2858325.81,0.218942,42.783,2858325.81,0.218942,42.783,2858325.81,0.218942,42.783,2858325.81,7.603056,11.859067,-4.256011,1.0,1.0,8.207,7.177,1.47,0.01,0.5,66809.71,-0.0216,0.1656,0.4454,100,100,True,2026-04-04 04:08:23.676341+00:00
66806.0,66806.1,66806.05,0.10000000000582077,0.014968704182603335,-0.907216,0.938,19.281,-0.905235,0.964,19.381,-0.851084,1.745,21.691,-0.190617,57.209,3821907.31,-0.190617,57.209,3821907.31,-0.190617,57.209,3821907.31,-0.190617,57.209,3821907.31,14.994971,29.678719,-14.683748,1.0,1.0,7.979,18.04,0.91,0.01,-0.5,66805.01,-0.1563,0.0405,0.5661,100,100,True,2026-04-04 04:09:23.937201+00:00
66821.7,66821.8,66821.75,0.10000000000582077,0.01496518723406986,-0.131979,8.116,10.584,-0.134982,8.238,10.809,-0.112951,8.733,10.957,-0.141991,44.51,2974236.09,-0.141991,44.51,2974236.09,-0.141991,44.51,2974236.09,-0.141991,44.51,2974236.09,10.121788,13.717927,-3.596139,1.0,1.0,7.569,9.275,0.01,0.01,-0.5,66821.69,-0.0089,0.425,0.4164,100,100,True,2026-04-04 04:10:24.203553+00:00
66821.7,66821.8,66821.75,0.10000000000582077,0.01496518723406986,0.12053,6.94,5.447,0.130767,7.255,5.577,0.126907,7.721,5.982,0.036764,37.945,2535551.3,0.036764,37.945,2535551.3,0.036764,37.945,2535551.3,0.036764,37.945,2535551.3,10.118249,9.082047,1.036202,1.0,1.0,6.505,4.168,0.01,0.01,0.5,66821.79,0.0058,0.3528,0.2981,100,100,True,2026-04-04 04:11:24.470055+00:00
66811.9,66812.0,66811.95,0.10000000000582077,0.01496738233292409,-0.16554,6.664,9.308,-0.165142,6.754,9.426,-0.164295,7.017,9.776,-0.138982,40.703,2719446.8,-0.138982,40.703,2719446.8,-0.138982,40.703,2719446.8,-0.138982,40.703,2719446.8,8.923606,12.638841,-3.715235,1.0,1.0,6.501,9.183,0.01,0.01,-0.5,66811.93,-0.0027,0.3803,0.4016,100,100,True,2026-04-04 04:12:24.729233+00:00
66800.0,66800.1,66800.05,0.10000000000582077,0.014970048675984638,0.094681,8.469,7.004,0.096607,8.661,7.135,0.115826,10.597,8.397,-0.113279,50.645,3383088.53,-0.113279,50.645,3383088.53,-0.113279,50.645,3383088.53,-0.113279,50.645,3383088.53,16.101572,20.463279,-4.361707,1.0,1.0,8.365,6.536,0.01,0.01,0.5,66799.99,-0.0084,0.3772,0.2484,100,100,True,2026-04-04 04:13:24.990324+00:00
66781.9,66782.0,66781.95,0.10000000000582077,0.014974106028024155,0.556526,7.132,2.032,0.515994,7.796,2.489,0.516132,8.529,2.722,-0.070207,38.002,2537847.66,-0.070207,38.002,2537847.66,-0.070207,38.002,2537847.66,-0.070207,38.002,2537847.66,11.912009,7.181389,4.730619,1.0,1.0,7.05,1.91,0.01,0.01,0.5,66782.23,0.0426,0.4037,0.0999,100,100,True,2026-04-04 04:14:25.254544+00:00
66781.1,66781.2,66781.15,0.09999999999126885,0.014974285407075029,0.879038,10.47,0.674,0.870911,10.725,0.74,0.84261,12.0,1.025,0.183687,39.404,2631444.43,0.183687,39.404,2631444.43,0.183687,39.404,2631444.43,0.183687,39.404,2631444.43,16.309803,3.986776,12.323027,1.0,1.0,10.153,1.497,0.01,1.42,0.5,66781.68,0.0801,0.449,0.0419,100,100,True,2026-04-04 04:15:25.517690+00:00
66776.1,66776.2,66776.15,0.09999999999126885,0.014975406637140485,-0.778831,1.913,15.386,-0.784388,1.957,16.196,-0.763025,2.488,18.51,-0.52441,47.562,3176007.25,-0.52441,47.562,3176007.25,-0.52441,47.562,3176007.25,-0.52441,47.562,3176007.25,5.340931,28.754147,-23.413216,1.0,1.0,1.66,15.236,0.01,0.01,-0.5,66775.72,-0.0651,0.1691,0.4244,100,100,True,2026-04-04 04:16:25.776907+00:00
66770.4,66770.5,66770.45,0.10000000000582077,0.014976685046427091,-0.712501,1.358,8.089,-0.484751,2.813,8.106,-0.458997,3.127,8.433,-0.169944,27.562,1840327.14,-0.169944,27.562,1840327.14,-0.169944,27.562,1840327.14,-0.169944,27.562,1840327.14,4.053119,14.745043,-10.691923,1.0,1.0,1.445,8.05,0.19,0.01,-0.5,66769.81,-0.0959,0.1187,0.5017,100,100,True,2026-04-04 04:17:26.048498+00:00
66783.5,66783.6,66783.55,0.10000000000582077,0.01497374727845716,-0.357487,4.664,9.854,-0.347616,4.796,9.907,-0.325224,5.076,9.969,-0.185028,35.827,2392654.25,-0.185028,35.827,2392654.25,-0.185028,35.827,2392654.25,-0.185028,35.827,2392654.25,6.48577,17.628406,-11.142637,1.0,1.0,4.227,9.143,0.01,0.01,-0.5,66783.4,-0.0228,0.3195,0.4642,100,100,True,2026-04-04 04:18:26.309691+00:00
66770.5,66770.6,66770.55,0.10000000000582077,0.014976662616351184,0.125562,6.387,4.962,0.112075,6.41,5.118,0.148606,7.25,5.374,0.19863,35.025,2338638.51,0.19863,35.025,2338638.51,0.19863,35.025,2338638.51,0.19863,35.025,2338638.51,11.843354,6.946309,4.897045,1.0,1.0,6.186,4.894,0.01,0.01,0.5,66770.53,-0.0035,0.3043,0.3536,100,100,True,2026-04-04 04:19:26.571279+00:00
66784.3,66784.4,66784.35,0.09999999999126885,0.014973567907940834,0.954907,18.555,0.428,0.960974,22.461,0.447,0.930483,22.938,0.826,0.526628,50.003,3339417.85,0.526628,50.003,3339417.85,0.526628,50.003,3339417.85,0.526628,50.003,3339417.85,33.112261,2.540128,30.572133,1.0,1.0,17.586,1.11,0.01,1.22,0.5,66785.36,0.1515,0.4861,0.0362,100,100,True,2026-04-04 04:20:27.031428+00:00
